Expense Category,Budgeted Amount,Actual Amount,Variance,Variance %,Comments
Technology Equipment,25079.52,32597.981039120772,7518.461039120772,29.98,High due to unexpected upgrades
Technology Equipment,79082.19,77536.9299004298,-1545.2600995702087,-1.95,High due to unexpected upgrades
Employee Benefits,41232.19,45567.94365133703,4335.753651337029,10.52,Lower due to reduced benefits claims
Technology Equipment,68265.66,81241.30046246867,12975.64046246867,19.01,High due to unexpected upgrades
Travel Expenses,59848.43,67176.88806613984,7328.458066139843,12.25,Under budget due to reduced travel
Miscellaneous Expenses,15274.29,13574.991263559557,-1699.2987364404435,-11.13,Unexpected miscellaneous costs
Technology Equipment,46293.06,51930.59577369823,5637.535773698233,12.18,High due to unexpected upgrades
Travel Expenses,58856.62,65269.99924429158,6413.37924429158,10.9,Under budget due to reduced travel
Travel Expenses,86464.01,108725.10144985931,22261.09144985932,25.75,Under budget due to reduced travel
Travel Expenses,16744.65,18516.1557149385,1771.5057149384993,10.58,Under budget due to reduced travel
Technology Equipment,59073.61,67083.68638952165,8010.076389521651,13.56,High due to unexpected upgrades
Technology Equipment,97411.51,116852.37335028428,19440.863350284286,19.96,High due to unexpected upgrades
Office Supplies,21918.1,18689.41479608223,-3228.6852039177684,-14.73,Overdue to remote work increase
Travel Expenses,78814.31,83800.70115463439,4986.391154634388,6.33,Under budget due to reduced travel
Marketing Expenses,94130.26,96296.69338847286,2166.4333884728694,2.3,Increased campaign costs
Marketing Expenses,67059.11,68070.34080311506,1011.2308031150606,1.51,Increased campaign costs
Employee Benefits,88134.03,97409.84142858129,9275.811428581292,10.52,Lower due to reduced benefits claims
Travel Expenses,81589.98,65750.55126702566,-15839.428732974338,-19.41,Under budget due to reduced travel
Employee Benefits,46789.81,37696.13147382736,-9093.67852617264,-19.44,Lower due to reduced benefits claims
Training and Development,66329.6,55271.799357163334,-11057.800642836672,-16.67,Underutilized training budget
Employee Benefits,26796.37,34578.60249084474,7782.2324908447445,29.04,Lower due to reduced benefits claims
Marketing Expenses,31936.18,29815.574691052512,-2120.605308947488,-6.64,Increased campaign costs
Consulting Fees,25410.89,21529.751916883437,-3881.1380831165625,-15.27,Savings from in-house expertise
Consulting Fees,30605.89,27892.507154672232,-2713.3828453277674,-8.87,Savings from in-house expertise
Consulting Fees,18660.56,19700.26633717836,1039.7063371783588,5.57,Savings from in-house expertise
Training and Development,14914.53,13202.426695393266,-1712.103304606735,-11.48,Underutilized training budget
Travel Expenses,29514.98,26505.84516848279,-3009.134831517211,-10.2,Under budget due to reduced travel
Training and Development,77335.78,382505.30125496315,305169.5212549631,394.6,Underutilized training budget
Consulting Fees,71325.45,74044.5063280313,2719.056328031307,3.81,Savings from in-house expertise
Salaries and Wages,21552.19,25744.36817870067,4192.178178700673,19.45,Overdue to overtime and staffing needs
Employee Benefits,65943.4,67278.85768259228,1335.457682592285,2.03,Lower due to reduced benefits claims
Office Supplies,74130.08,88952.74663849414,14822.666638494135,20.0,Overdue to remote work increase
Travel Expenses,18370.29,15670.743717212152,-2699.546282787849,-14.7,Under budget due to reduced travel
Miscellaneous Expenses,76042.13,89784.53310603261,13742.403106032609,18.07,Unexpected miscellaneous costs
Office Supplies,78264.47,78987.56300048482,723.0930004848196,0.92,Overdue to remote work increase
Marketing Expenses,60510.25,61738.24861591498,1227.9986159149776,2.03,Increased campaign costs
Salaries and Wages,88117.39,103070.11869517106,14952.728695171056,16.97,Overdue to overtime and staffing needs
Technology Equipment,94933.37,113245.10148890325,18311.731488903257,19.29,High due to unexpected upgrades
Technology Equipment,52557.22,52458.77858265772,-98.4414173422847,-0.19,High due to unexpected upgrades
Salaries and Wages,18787.41,15180.519406957686,-3606.8905930423134,-19.2,Overdue to overtime and staffing needs
Utilities,30333.99,30353.9857563443,19.99575634429857,0.07,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,19515.96,22845.379905548703,3329.4199055487043,17.06,Savings from in-house expertise
Consulting Fees,41928.64,205511.75977725675,163583.11977725674,390.15,Savings from in-house expertise
Marketing Expenses,49569.62,57739.614613674625,8169.994613674622,16.48,Increased campaign costs
Technology Equipment,98357.49,80210.22844742537,-18147.261552574637,-18.45,High due to unexpected upgrades
Employee Benefits,47318.81,58927.2456523133,11608.435652313303,24.53,Lower due to reduced benefits claims
Salaries and Wages,21140.88,24510.952087605416,3370.0720876054147,15.94,Overdue to overtime and staffing needs
Travel Expenses,54133.66,47031.30009265466,-7102.359907345344,-13.12,Under budget due to reduced travel
Utilities,80210.0,69039.49251002613,-11170.507489973868,-13.93,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,42619.98,49260.44582532839,6640.465825328385,15.58,Increased campaign costs
